Title,page_no,recitation_no,recitation,image_pages
page 1,1,1,public://quran_audio/alafasy-Page001.mp3,public://quran_images/page-001.png
page 2,2,1,public://quran_audio/alafasy-Page002.mp3,public://quran_images/page-002.png
page 3,3,1,public://quran_audio/alafasy-Page003.mp3,public://quran_images/page-003.png
page 4,4,1,public://quran_audio/alafasy-Page004.mp3,public://quran_images/page-004.png
page 5,5,1,public://quran_audio/alafasy-Page005.mp3,public://quran_images/page-005.png
page 6,6,1,public://quran_audio/alafasy-Page006.mp3,public://quran_images/page-006.png
page 7,7,1,public://quran_audio/alafasy-Page007.mp3,public://quran_images/page-007.png
page 8,8,1,public://quran_audio/alafasy-Page008.mp3,public://quran_images/page-008.png
page 9,9,1,public://quran_audio/alafasy-Page009.mp3,public://quran_images/page-009.png
page 10,10,1,public://quran_audio/alafasy-Page010.mp3,public://quran_images/page-010.png
page 11,11,1,public://quran_audio/alafasy-Page011.mp3,public://quran_images/page-011.png
page 12,12,1,public://quran_audio/alafasy-Page012.mp3,public://quran_images/page-012.png
page 13,13,1,public://quran_audio/alafasy-Page013.mp3,public://quran_images/page-013.png
page 14,14,1,public://quran_audio/alafasy-Page014.mp3,public://quran_images/page-014.png
page 15,15,1,public://quran_audio/alafasy-Page015.mp3,public://quran_images/page-015.png
page 16,16,1,public://quran_audio/alafasy-Page016.mp3,public://quran_images/page-016.png
page 17,17,1,public://quran_audio/alafasy-Page017.mp3,public://quran_images/page-017.png
page 18,18,1,public://quran_audio/alafasy-Page018.mp3,public://quran_images/page-018.png
page 19,19,1,public://quran_audio/alafasy-Page019.mp3,public://quran_images/page-019.png
page 20,20,1,public://quran_audio/alafasy-Page020.mp3,public://quran_images/page-020.png
page 21,21,1,public://quran_audio/alafasy-Page021.mp3,public://quran_images/page-021.png
page 22,22,1,public://quran_audio/alafasy-Page022.mp3,public://quran_images/page-022.png
page 23,23,1,public://quran_audio/alafasy-Page023.mp3,public://quran_images/page-023.png
page 24,24,1,public://quran_audio/alafasy-Page024.mp3,public://quran_images/page-024.png
page 25,25,1,public://quran_audio/alafasy-Page025.mp3,public://quran_images/page-025.png
page 26,26,1,public://quran_audio/alafasy-Page026.mp3,public://quran_images/page-026.png
page 27,27,1,public://quran_audio/alafasy-Page027.mp3,public://quran_images/page-027.png
page 28,28,1,public://quran_audio/alafasy-Page028.mp3,public://quran_images/page-028.png
page 29,29,1,public://quran_audio/alafasy-Page029.mp3,public://quran_images/page-029.png
page 30,30,1,public://quran_audio/alafasy-Page030.mp3,public://quran_images/page-030.png
page 31,31,1,public://quran_audio/alafasy-Page031.mp3,public://quran_images/page-031.png
page 32,32,1,public://quran_audio/alafasy-Page032.mp3,public://quran_images/page-032.png
page 33,33,1,public://quran_audio/alafasy-Page033.mp3,public://quran_images/page-033.png
page 34,34,1,public://quran_audio/alafasy-Page034.mp3,public://quran_images/page-034.png
page 35,35,1,public://quran_audio/alafasy-Page035.mp3,public://quran_images/page-035.png
page 36,36,1,public://quran_audio/alafasy-Page036.mp3,public://quran_images/page-036.png
page 37,37,1,public://quran_audio/alafasy-Page037.mp3,public://quran_images/page-037.png
page 38,38,1,public://quran_audio/alafasy-Page038.mp3,public://quran_images/page-038.png
page 39,39,1,public://quran_audio/alafasy-Page039.mp3,public://quran_images/page-039.png
page 40,40,1,public://quran_audio/alafasy-Page040.mp3,public://quran_images/page-040.png
page 41,41,1,public://quran_audio/alafasy-Page041.mp3,public://quran_images/page-041.png
page 42,42,1,public://quran_audio/alafasy-Page042.mp3,public://quran_images/page-042.png
page 43,43,1,public://quran_audio/alafasy-Page043.mp3,public://quran_images/page-043.png
page 44,44,1,public://quran_audio/alafasy-Page044.mp3,public://quran_images/page-044.png
page 45,45,1,public://quran_audio/alafasy-Page045.mp3,public://quran_images/page-045.png
page 46,46,1,public://quran_audio/alafasy-Page046.mp3,public://quran_images/page-046.png
page 47,47,1,public://quran_audio/alafasy-Page047.mp3,public://quran_images/page-047.png
page 48,48,1,public://quran_audio/alafasy-Page048.mp3,public://quran_images/page-048.png
page 49,49,1,public://quran_audio/alafasy-Page049.mp3,public://quran_images/page-049.png
page 50,50,1,public://quran_audio/alafasy-Page050.mp3,public://quran_images/page-050.png
page 51,51,1,public://quran_audio/alafasy-Page051.mp3,public://quran_images/page-051.png
page 52,52,1,public://quran_audio/alafasy-Page052.mp3,public://quran_images/page-052.png
page 53,53,1,public://quran_audio/alafasy-Page053.mp3,public://quran_images/page-053.png
page 54,54,1,public://quran_audio/alafasy-Page054.mp3,public://quran_images/page-054.png
page 55,55,1,public://quran_audio/alafasy-Page055.mp3,public://quran_images/page-055.png
page 56,56,1,public://quran_audio/alafasy-Page056.mp3,public://quran_images/page-056.png
page 57,57,1,public://quran_audio/alafasy-Page057.mp3,public://quran_images/page-057.png
page 58,58,1,public://quran_audio/alafasy-Page058.mp3,public://quran_images/page-058.png
page 59,59,1,public://quran_audio/alafasy-Page059.mp3,public://quran_images/page-059.png
page 60,60,1,public://quran_audio/alafasy-Page060.mp3,public://quran_images/page-060.png
page 61,61,1,public://quran_audio/alafasy-Page061.mp3,public://quran_images/page-061.png
page 62,62,1,public://quran_audio/alafasy-Page062.mp3,public://quran_images/page-062.png
page 63,63,1,public://quran_audio/alafasy-Page063.mp3,public://quran_images/page-063.png
page 64,64,1,public://quran_audio/alafasy-Page064.mp3,public://quran_images/page-064.png
page 65,65,1,public://quran_audio/alafasy-Page065.mp3,public://quran_images/page-065.png
page 66,66,1,public://quran_audio/alafasy-Page066.mp3,public://quran_images/page-066.png
page 67,67,1,public://quran_audio/alafasy-Page067.mp3,public://quran_images/page-067.png
page 68,68,1,public://quran_audio/alafasy-Page068.mp3,public://quran_images/page-068.png
page 69,69,1,public://quran_audio/alafasy-Page069.mp3,public://quran_images/page-069.png
page 70,70,1,public://quran_audio/alafasy-Page070.mp3,public://quran_images/page-070.png
page 71,71,1,public://quran_audio/alafasy-Page071.mp3,public://quran_images/page-071.png
page 72,72,1,public://quran_audio/alafasy-Page072.mp3,public://quran_images/page-072.png
page 73,73,1,public://quran_audio/alafasy-Page073.mp3,public://quran_images/page-073.png
page 74,74,1,public://quran_audio/alafasy-Page074.mp3,public://quran_images/page-074.png
page 75,75,1,public://quran_audio/alafasy-Page075.mp3,public://quran_images/page-075.png
page 76,76,1,public://quran_audio/alafasy-Page076.mp3,public://quran_images/page-076.png
page 77,77,1,public://quran_audio/alafasy-Page077.mp3,public://quran_images/page-077.png
page 78,78,1,public://quran_audio/alafasy-Page078.mp3,public://quran_images/page-078.png
page 79,79,1,public://quran_audio/alafasy-Page079.mp3,public://quran_images/page-079.png
page 80,80,1,public://quran_audio/alafasy-Page080.mp3,public://quran_images/page-080.png
page 81,81,1,public://quran_audio/alafasy-Page081.mp3,public://quran_images/page-081.png
page 82,82,1,public://quran_audio/alafasy-Page082.mp3,public://quran_images/page-082.png
page 83,83,1,public://quran_audio/alafasy-Page083.mp3,public://quran_images/page-083.png
page 84,84,1,public://quran_audio/alafasy-Page084.mp3,public://quran_images/page-084.png
page 85,85,1,public://quran_audio/alafasy-Page085.mp3,public://quran_images/page-085.png
page 86,86,1,public://quran_audio/alafasy-Page086.mp3,public://quran_images/page-086.png
page 87,87,1,public://quran_audio/alafasy-Page087.mp3,public://quran_images/page-087.png
page 88,88,1,public://quran_audio/alafasy-Page088.mp3,public://quran_images/page-088.png
page 89,89,1,public://quran_audio/alafasy-Page089.mp3,public://quran_images/page-089.png
page 90,90,1,public://quran_audio/alafasy-Page090.mp3,public://quran_images/page-090.png
page 91,91,1,public://quran_audio/alafasy-Page091.mp3,public://quran_images/page-091.png
page 92,92,1,public://quran_audio/alafasy-Page092.mp3,public://quran_images/page-092.png
page 93,93,1,public://quran_audio/alafasy-Page093.mp3,public://quran_images/page-093.png
page 94,94,1,public://quran_audio/alafasy-Page094.mp3,public://quran_images/page-094.png
page 95,95,1,public://quran_audio/alafasy-Page095.mp3,public://quran_images/page-095.png
page 96,96,1,public://quran_audio/alafasy-Page096.mp3,public://quran_images/page-096.png
page 97,97,1,public://quran_audio/alafasy-Page097.mp3,public://quran_images/page-097.png
page 98,98,1,public://quran_audio/alafasy-Page098.mp3,public://quran_images/page-098.png
page 99,99,1,public://quran_audio/alafasy-Page099.mp3,public://quran_images/page-099.png
page 100,100,1,public://quran_audio/alafasy-Page100.mp3,public://quran_images/page-100.png
page 101,101,1,public://quran_audio/alafasy-Page101.mp3,public://quran_images/page-101.png
page 102,102,1,public://quran_audio/alafasy-Page102.mp3,public://quran_images/page-102.png
page 103,103,1,public://quran_audio/alafasy-Page103.mp3,public://quran_images/page-103.png
page 104,104,1,public://quran_audio/alafasy-Page104.mp3,public://quran_images/page-104.png
page 105,105,1,public://quran_audio/alafasy-Page105.mp3,public://quran_images/page-105.png
page 106,106,1,public://quran_audio/alafasy-Page106.mp3,public://quran_images/page-106.png
page 107,107,1,public://quran_audio/alafasy-Page107.mp3,public://quran_images/page-107.png
page 108,108,1,public://quran_audio/alafasy-Page108.mp3,public://quran_images/page-108.png
page 109,109,1,public://quran_audio/alafasy-Page109.mp3,public://quran_images/page-109.png
page 110,110,1,public://quran_audio/alafasy-Page110.mp3,public://quran_images/page-110.png
page 111,111,1,public://quran_audio/alafasy-Page111.mp3,public://quran_images/page-111.png
page 112,112,1,public://quran_audio/alafasy-Page112.mp3,public://quran_images/page-112.png
page 113,113,1,public://quran_audio/alafasy-Page113.mp3,public://quran_images/page-113.png
page 114,114,1,public://quran_audio/alafasy-Page114.mp3,public://quran_images/page-114.png
page 115,115,1,public://quran_audio/alafasy-Page115.mp3,public://quran_images/page-115.png
page 116,116,1,public://quran_audio/alafasy-Page116.mp3,public://quran_images/page-116.png
page 117,117,1,public://quran_audio/alafasy-Page117.mp3,public://quran_images/page-117.png
page 118,118,1,public://quran_audio/alafasy-Page118.mp3,public://quran_images/page-118.png
page 119,119,1,public://quran_audio/alafasy-Page119.mp3,public://quran_images/page-119.png
page 120,120,1,public://quran_audio/alafasy-Page120.mp3,public://quran_images/page-120.png
page 121,121,1,public://quran_audio/alafasy-Page121.mp3,public://quran_images/page-121.png
page 122,122,1,public://quran_audio/alafasy-Page122.mp3,public://quran_images/page-122.png
page 123,123,1,public://quran_audio/alafasy-Page123.mp3,public://quran_images/page-123.png
page 124,124,1,public://quran_audio/alafasy-Page124.mp3,public://quran_images/page-124.png
page 125,125,1,public://quran_audio/alafasy-Page125.mp3,public://quran_images/page-125.png
page 126,126,1,public://quran_audio/alafasy-Page126.mp3,public://quran_images/page-126.png
page 127,127,1,public://quran_audio/alafasy-Page127.mp3,public://quran_images/page-127.png
page 128,128,1,public://quran_audio/alafasy-Page128.mp3,public://quran_images/page-128.png
page 129,129,1,public://quran_audio/alafasy-Page129.mp3,public://quran_images/page-129.png
page 130,130,1,public://quran_audio/alafasy-Page130.mp3,public://quran_images/page-130.png
page 131,131,1,public://quran_audio/alafasy-Page131.mp3,public://quran_images/page-131.png
page 132,132,1,public://quran_audio/alafasy-Page132.mp3,public://quran_images/page-132.png
page 133,133,1,public://quran_audio/alafasy-Page133.mp3,public://quran_images/page-133.png
page 134,134,1,public://quran_audio/alafasy-Page134.mp3,public://quran_images/page-134.png
page 135,135,1,public://quran_audio/alafasy-Page135.mp3,public://quran_images/page-135.png
page 136,136,1,public://quran_audio/alafasy-Page136.mp3,public://quran_images/page-136.png
page 137,137,1,public://quran_audio/alafasy-Page137.mp3,public://quran_images/page-137.png
page 138,138,1,public://quran_audio/alafasy-Page138.mp3,public://quran_images/page-138.png
page 139,139,1,public://quran_audio/alafasy-Page139.mp3,public://quran_images/page-139.png
page 140,140,1,public://quran_audio/alafasy-Page140.mp3,public://quran_images/page-140.png
page 141,141,1,public://quran_audio/alafasy-Page141.mp3,public://quran_images/page-141.png
page 142,142,1,public://quran_audio/alafasy-Page142.mp3,public://quran_images/page-142.png
page 143,143,1,public://quran_audio/alafasy-Page143.mp3,public://quran_images/page-143.png
page 144,144,1,public://quran_audio/alafasy-Page144.mp3,public://quran_images/page-144.png
page 145,145,1,public://quran_audio/alafasy-Page145.mp3,public://quran_images/page-145.png
page 146,146,1,public://quran_audio/alafasy-Page146.mp3,public://quran_images/page-146.png
page 147,147,1,public://quran_audio/alafasy-Page147.mp3,public://quran_images/page-147.png
page 148,148,1,public://quran_audio/alafasy-Page148.mp3,public://quran_images/page-148.png
page 149,149,1,public://quran_audio/alafasy-Page149.mp3,public://quran_images/page-149.png
page 150,150,1,public://quran_audio/alafasy-Page150.mp3,public://quran_images/page-150.png
page 151,151,1,public://quran_audio/alafasy-Page151.mp3,public://quran_images/page-151.png
page 152,152,1,public://quran_audio/alafasy-Page152.mp3,public://quran_images/page-152.png
page 153,153,1,public://quran_audio/alafasy-Page153.mp3,public://quran_images/page-153.png
page 154,154,1,public://quran_audio/alafasy-Page154.mp3,public://quran_images/page-154.png
page 155,155,1,public://quran_audio/alafasy-Page155.mp3,public://quran_images/page-155.png
page 156,156,1,public://quran_audio/alafasy-Page156.mp3,public://quran_images/page-156.png
page 157,157,1,public://quran_audio/alafasy-Page157.mp3,public://quran_images/page-157.png
page 158,158,1,public://quran_audio/alafasy-Page158.mp3,public://quran_images/page-158.png
page 159,159,1,public://quran_audio/alafasy-Page159.mp3,public://quran_images/page-159.png
page 160,160,1,public://quran_audio/alafasy-Page160.mp3,public://quran_images/page-160.png
page 161,161,1,public://quran_audio/alafasy-Page161.mp3,public://quran_images/page-161.png
page 162,162,1,public://quran_audio/alafasy-Page162.mp3,public://quran_images/page-162.png
page 163,163,1,public://quran_audio/alafasy-Page163.mp3,public://quran_images/page-163.png
page 164,164,1,public://quran_audio/alafasy-Page164.mp3,public://quran_images/page-164.png
page 165,165,1,public://quran_audio/alafasy-Page165.mp3,public://quran_images/page-165.png
page 166,166,1,public://quran_audio/alafasy-Page166.mp3,public://quran_images/page-166.png
page 167,167,1,public://quran_audio/alafasy-Page167.mp3,public://quran_images/page-167.png
page 168,168,1,public://quran_audio/alafasy-Page168.mp3,public://quran_images/page-168.png
page 169,169,1,public://quran_audio/alafasy-Page169.mp3,public://quran_images/page-169.png
page 170,170,1,public://quran_audio/alafasy-Page170.mp3,public://quran_images/page-170.png
page 171,171,1,public://quran_audio/alafasy-Page171.mp3,public://quran_images/page-171.png
page 172,172,1,public://quran_audio/alafasy-Page172.mp3,public://quran_images/page-172.png
page 173,173,1,public://quran_audio/alafasy-Page173.mp3,public://quran_images/page-173.png
page 174,174,1,public://quran_audio/alafasy-Page174.mp3,public://quran_images/page-174.png
page 175,175,1,public://quran_audio/alafasy-Page175.mp3,public://quran_images/page-175.png
page 176,176,1,public://quran_audio/alafasy-Page176.mp3,public://quran_images/page-176.png
page 177,177,1,public://quran_audio/alafasy-Page177.mp3,public://quran_images/page-177.png
page 178,178,1,public://quran_audio/alafasy-Page178.mp3,public://quran_images/page-178.png
page 179,179,1,public://quran_audio/alafasy-Page179.mp3,public://quran_images/page-179.png
page 180,180,1,public://quran_audio/alafasy-Page180.mp3,public://quran_images/page-180.png
page 181,181,1,public://quran_audio/alafasy-Page181.mp3,public://quran_images/page-181.png
page 182,182,1,public://quran_audio/alafasy-Page182.mp3,public://quran_images/page-182.png
page 183,183,1,public://quran_audio/alafasy-Page183.mp3,public://quran_images/page-183.png
page 184,184,1,public://quran_audio/alafasy-Page184.mp3,public://quran_images/page-184.png
page 185,185,1,public://quran_audio/alafasy-Page185.mp3,public://quran_images/page-185.png
page 186,186,1,public://quran_audio/alafasy-Page186.mp3,public://quran_images/page-186.png
page 187,187,1,public://quran_audio/alafasy-Page187.mp3,public://quran_images/page-187.png
page 188,188,1,public://quran_audio/alafasy-Page188.mp3,public://quran_images/page-188.png
page 189,189,1,public://quran_audio/alafasy-Page189.mp3,public://quran_images/page-189.png
page 190,190,1,public://quran_audio/alafasy-Page190.mp3,public://quran_images/page-190.png
page 191,191,1,public://quran_audio/alafasy-Page191.mp3,public://quran_images/page-191.png
page 192,192,1,public://quran_audio/alafasy-Page192.mp3,public://quran_images/page-192.png
page 193,193,1,public://quran_audio/alafasy-Page193.mp3,public://quran_images/page-193.png
page 194,194,1,public://quran_audio/alafasy-Page194.mp3,public://quran_images/page-194.png
page 195,195,1,public://quran_audio/alafasy-Page195.mp3,public://quran_images/page-195.png
page 196,196,1,public://quran_audio/alafasy-Page196.mp3,public://quran_images/page-196.png
page 197,197,1,public://quran_audio/alafasy-Page197.mp3,public://quran_images/page-197.png
page 198,198,1,public://quran_audio/alafasy-Page198.mp3,public://quran_images/page-198.png
page 199,199,1,public://quran_audio/alafasy-Page199.mp3,public://quran_images/page-199.png
page 200,200,1,public://quran_audio/alafasy-Page200.mp3,public://quran_images/page-200.png
page 201,201,1,public://quran_audio/alafasy-Page201.mp3,public://quran_images/page-201.png
page 202,202,1,public://quran_audio/alafasy-Page202.mp3,public://quran_images/page-202.png
page 203,203,1,public://quran_audio/alafasy-Page203.mp3,public://quran_images/page-203.png
page 204,204,1,public://quran_audio/alafasy-Page204.mp3,public://quran_images/page-204.png
page 205,205,1,public://quran_audio/alafasy-Page205.mp3,public://quran_images/page-205.png
page 206,206,1,public://quran_audio/alafasy-Page206.mp3,public://quran_images/page-206.png
page 207,207,1,public://quran_audio/alafasy-Page207.mp3,public://quran_images/page-207.png
page 208,208,1,public://quran_audio/alafasy-Page208.mp3,public://quran_images/page-208.png
page 209,209,1,public://quran_audio/alafasy-Page209.mp3,public://quran_images/page-209.png
page 210,210,1,public://quran_audio/alafasy-Page210.mp3,public://quran_images/page-210.png
page 211,211,1,public://quran_audio/alafasy-Page211.mp3,public://quran_images/page-211.png
page 212,212,1,public://quran_audio/alafasy-Page212.mp3,public://quran_images/page-212.png
page 213,213,1,public://quran_audio/alafasy-Page213.mp3,public://quran_images/page-213.png
page 214,214,1,public://quran_audio/alafasy-Page214.mp3,public://quran_images/page-214.png
page 215,215,1,public://quran_audio/alafasy-Page215.mp3,public://quran_images/page-215.png
page 216,216,1,public://quran_audio/alafasy-Page216.mp3,public://quran_images/page-216.png
page 217,217,1,public://quran_audio/alafasy-Page217.mp3,public://quran_images/page-217.png
page 218,218,1,public://quran_audio/alafasy-Page218.mp3,public://quran_images/page-218.png
page 219,219,1,public://quran_audio/alafasy-Page219.mp3,public://quran_images/page-219.png
page 220,220,1,public://quran_audio/alafasy-Page220.mp3,public://quran_images/page-220.png
page 221,221,1,public://quran_audio/alafasy-Page221.mp3,public://quran_images/page-221.png
page 222,222,1,public://quran_audio/alafasy-Page222.mp3,public://quran_images/page-222.png
page 223,223,1,public://quran_audio/alafasy-Page223.mp3,public://quran_images/page-223.png
